Timestamp	Speed (mph)	Occupancy (%)
05/23/2016 05:25	62.6	16.4
05/23/2016 05:30	60.6	16.1
05/23/2016 05:35	60.1	16.7
05/23/2016 05:40	57.9	17.8
05/23/2016 05:45	57.7	17.4
05/23/2016 05:50	56.7	16.7
05/23/2016 05:55	56.7	17.9
05/23/2016 06:00	51.5	16.8
05/23/2016 06:05	48.3	18.2
05/23/2016 06:10	47	18.5
05/23/2016 06:15	44.8	18.1
05/23/2016 06:20	44.6	19.3
05/23/2016 06:25	45.3	18
05/23/2016 06:30	42	21.1
05/23/2016 06:35	41.5	22.8
05/23/2016 06:40	39.9	22.3
05/23/2016 06:45	36.7	26.1
05/23/2016 06:50	35.7	23.8
05/23/2016 06:55	37.3	23.4
05/23/2016 07:00	39	23.5
05/23/2016 07:05	39.4	24.1
05/23/2016 07:10	37.1	25.4
05/23/2016 07:15	38	23.6
05/23/2016 07:20	35.7	25.2
05/23/2016 07:25	30.2	32.7
05/23/2016 07:30	25.4	40.6
05/23/2016 07:35	23.9	38.1
05/23/2016 07:40	22.7	40.7
05/23/2016 07:45	22.4	39.4
05/23/2016 07:50	22.4	40.3
05/23/2016 07:55	22.7	34.7
05/23/2016 08:00	21.6	42.7
05/23/2016 08:05	26.7	25.2
05/23/2016 08:10	36.8	20.9
05/23/2016 08:15	40.6	17.8
05/23/2016 08:20	38.5	24.4
05/23/2016 08:25	38.9	24.4
05/23/2016 08:30	36.4	23.9
05/23/2016 08:35	35.7	26.4
05/23/2016 08:40	35.1	28.9
05/23/2016 08:45	32.4	29.1
05/23/2016 08:50	34.7	28.5
05/23/2016 08:55	31.6	29.1
05/23/2016 09:00	33.7	21.4
05/23/2016 09:05	35	29.5
05/23/2016 09:10	33.7	28.4
05/23/2016 09:15	31.8	29.4
05/23/2016 09:20	29.5	28.2
05/23/2016 09:25	27.7	31.8
05/23/2016 09:30	25.9	35.6
05/23/2016 09:35	24.8	31.7
05/23/2016 09:40	27.9	29
05/23/2016 09:45	25.4	35.6
05/23/2016 09:50	28	23.9
05/23/2016 09:55	30.8	22.9
05/23/2016 10:00	28	32.1
05/23/2016 10:05	26.8	32.9
05/23/2016 10:10	30.2	20.8
05/23/2016 10:15	29.4	29.8
05/23/2016 10:20	30.3	24.8
05/23/2016 10:25	31.6	25.4
05/23/2016 10:30	31.8	25.5
05/23/2016 10:35	32.8	23.5
05/23/2016 10:40	32	25
05/23/2016 10:45	38.2	20.8
05/23/2016 10:50	37.9	20.9
05/23/2016 10:55	39.2	19.5
05/23/2016 11:00	36.1	24.9
05/23/2016 11:05	33.7	25.3
05/23/2016 11:10	33.7	24.9
05/23/2016 11:15	36.6	21.1
05/23/2016 11:20	37.9	19.4
05/23/2016 11:25	39.5	19.6
05/23/2016 11:30	38.2	20.5
05/23/2016 11:35	35.3	22.5
05/23/2016 11:40	33.1	25.9
05/23/2016 11:45	34.9	21.3
05/23/2016 11:50	37.7	19
05/23/2016 11:55	37.4	20.8
05/23/2016 12:00	34.5	27
05/23/2016 12:05	32.8	27.4
05/23/2016 12:10	32.1	26.9
05/23/2016 12:15	30.1	30.7
05/23/2016 12:20	36	18.1
05/23/2016 12:25	34.9	23.5
05/23/2016 12:30	32.8	26.8
05/23/2016 12:35	33.1	22.5
05/23/2016 12:40	35.3	20.1
05/23/2016 12:45	35.6	22.9
05/23/2016 12:50	33.8	25.7
05/23/2016 12:55	33.3	19.7
05/23/2016 13:00	30.2	27.2
05/23/2016 13:05	34.7	19.5
05/23/2016 13:10	35.6	20.8
05/23/2016 13:15	33.9	27.8
05/23/2016 13:20	34.7	21
05/23/2016 13:25	37.7	20.1
05/23/2016 13:30	41.2	17.5
05/23/2016 13:35	38.1	23.1
05/23/2016 13:40	37.2	22.4
05/23/2016 13:45	38.9	21.1
05/23/2016 13:50	40.6	18
05/23/2016 13:55	41.2	18.4
05/23/2016 14:00	42.9	18.3
05/23/2016 14:05	44	17.4
05/23/2016 14:10	44.1	18.8
05/23/2016 14:15	42.4	20.7
05/23/2016 14:20	43	17.4
05/23/2016 14:25	42.3	20.4
05/23/2016 14:30	43.8	17.9
05/23/2016 14:35	43.3	19
05/23/2016 14:40	44.8	19.2
05/23/2016 14:45	41.2	22.4
05/23/2016 14:50	40.4	19.5
05/23/2016 14:55	38.9	20.9
05/23/2016 15:00	43	16.9
05/23/2016 15:05	39.4	20.8
05/23/2016 15:10	39.9	19
05/23/2016 15:15	37.8	23
05/23/2016 15:20	38.2	21.3
05/23/2016 15:25	40.7	18.9
05/23/2016 15:30	40.6	23.7
05/23/2016 15:35	42.4	16.9
05/23/2016 15:40	43.8	19.4
05/23/2016 15:45	39.8	23
05/23/2016 15:50	37.8	23
05/23/2016 15:55	39.2	18.4
05/23/2016 16:00	40.9	20.1
05/23/2016 16:05	43.5	16.1
05/23/2016 16:10	45.7	16
05/23/2016 16:15	45.6	16.5
05/23/2016 16:20	41.4	21.6
05/23/2016 16:25	39.7	22.4
05/23/2016 16:30	39.2	23.3
05/23/2016 16:35	43.5	17
05/23/2016 16:40	46	19.9
05/23/2016 16:45	46.7	19.2
05/23/2016 16:50	48	16.6
05/23/2016 16:55	47.8	15.8
05/23/2016 17:00	49.4	15.9
05/23/2016 17:05	48.2	16.7
05/23/2016 17:10	47.6	15.9
05/23/2016 17:15	47.8	15.4
05/23/2016 17:20	48	17.6
05/23/2016 17:25	47.9	17
05/23/2016 17:30	47.3	18.2
05/23/2016 17:35	47.3	19.2
05/23/2016 17:40	45.4	18.5
05/23/2016 17:45	44.4	21.3
05/23/2016 17:50	43.7	19.8
05/23/2016 17:55	39	25.1
05/23/2016 18:00	37.1	23.3
05/23/2016 18:05	41.6	19.4
05/23/2016 18:10	38.9	25.4
05/23/2016 18:15	33.2	26.5
05/23/2016 18:20	29.9	29.6
05/23/2016 18:25	30.3	27.8
05/23/2016 18:30	29.4	30.3
05/23/2016 18:35	32.3	23.5
05/23/2016 18:40	28.3	31.3
05/23/2016 18:45	29.4	25.7
05/23/2016 18:50	28.3	28.9
05/23/2016 18:55	31.4	25.6
05/23/2016 19:00	32.1	25.6
05/23/2016 19:05	30.3	28.7
05/23/2016 19:10	31.4	25.7
05/23/2016 19:15	31.2	25.7
05/23/2016 19:20	29	30.7
05/23/2016 19:25	28.7	28
05/23/2016 19:30	29.1	27.3
05/23/2016 19:35	36.2	17.9
05/23/2016 19:40	39.5	18
05/23/2016 19:45	48.4	10.5
05/23/2016 19:50	57	9.4
05/23/2016 19:55	61.3	9.2
05/23/2016 20:00	63.9	8
05/23/2016 20:05	64.5	10
05/23/2016 20:10	64.4	7.4
05/23/2016 20:15	63.3	10.3
05/23/2016 20:20	62.9	8.2
05/23/2016 20:25	63.9	8.2
05/23/2016 20:30	63.5	9.3
05/23/2016 20:35	63.5	8.9
05/23/2016 20:40	65.6	7.4
05/23/2016 20:45	65.1	8.4
05/23/2016 20:50	63.5	9.2
05/23/2016 20:55	64.3	8
05/23/2016 21:00	62.8	8.4
05/23/2016 21:05	63.8	7.9
05/23/2016 21:10	62.8	9.7
05/23/2016 21:15	64.4	8.5
05/23/2016 21:20	64.5	8.2
05/23/2016 21:25	62.9	8.8
05/23/2016 21:30	64	7.9
05/23/2016 21:35	62.6	8.1
05/23/2016 21:40	62	9.2
05/23/2016 21:45	61.8	10.3
05/23/2016 21:50	62.3	9.1
05/23/2016 21:55	62.3	7.7
05/23/2016 22:00	63	8.2
05/23/2016 22:05	62.6	8.6
05/23/2016 22:10	62.7	7.5
05/23/2016 22:15	63.5	7.7
05/23/2016 22:20	62.7	7.3
05/23/2016 22:25	63.6	7.6
05/23/2016 22:30	65	5.9
05/23/2016 22:35	63.7	8.2
05/23/2016 22:40	64.6	6.9
05/23/2016 22:45	65.5	6.7
05/23/2016 22:50	63.4	6.6
05/23/2016 22:55	65.6	6.3
05/23/2016 23:00	64.5	6.5
05/23/2016 23:05	65.2	5.2
05/23/2016 23:10	63.8	7
05/23/2016 23:15	63	6.5
05/23/2016 23:20	65.2	6.5
05/23/2016 23:25	63.6	6.2
05/23/2016 23:30	62.4	5.8
05/23/2016 23:35	62.9	6.6
05/23/2016 23:40	63.9	5.8
05/23/2016 23:45	66.1	5
05/23/2016 23:50	66	5.4
05/23/2016 23:55	64.9	4.3
