month year loc prod unit amount
147 8 2012 CA Laptop 1 225
148 8 2012 WG Tablet 2 2240
149 8 2012 CA Laptop 1 225
150 8 2012 CA Printer 2 1140
151 8 2012 NZ Tablet 2 2240
152 8 2012 CA Laptop 1 225
153 8 2012 CA Tablet 1 1120
154 8 2012 QU Laptop 1 225
155 8 2012 QU Tablet 2 2240
156 8 2012 NZ Tablet 1 1120
157 8 2012 NZ Laptop 1 225
158 8 2012 NZ Tablet 2 2240
159 8 2012 NZ Printer 1 570
160 8 2012 NZ Tablet 1 1120
161 8 2012 ON Laptop 2 450
162 8 2012 NZ Printer 1 570
163 8 2012 QU Tablet 2 2240
164 8 2012 NZ Laptop 1 225
165 8 2012 NZ Tablet 2 2240
166 8 2012 CA Tablet 1 1120
167 8 2012 CA Printer 1 570
168 8 2012 NZ Tablet 1 1120
169 8 2012 ON Tablet 2 2240
170 8 2012 NZ Tablet 1 1120
171 8 2012 NZ Printer 2 1140
172 8 2012 CA Laptop 2 450
173 8 2012 WG Laptop 2 450
174 8 2012 NZ Printer 1 570
175 8 2012 NZ Laptop 2 450
176 8 2012 NZ Printer 1 570
177 8 2012 CA Tablet 2 2240
178 9 2012 CA Laptop 1 225
179 9 2012 NZ Tablet 1 1120
180 9 2012 CA Laptop 1 225
181 9 2012 NZ Laptop 2 450
182 9 2012 NZ Tablet 1 1120
183 9 2012 NZ Laptop 1 225
184 9 2012 WG Tablet 2 2240
185 9 2012 ON Tablet 2 2240
186 9 2012 QU Printer 2 1140
187 9 2012 CA Printer 1 570
188 9 2012 CA Tablet 1 1120
189 9 2012 NZ Laptop 2 450
190 9 2012 CA Laptop 2 450
191 9 2012 NZ Printer 1 570
192 9 2012 CA Printer 2 1140
193 9 2012 CA Laptop 1 225
194 10 2012 ON Tablet 1 1120
195 10 2012 CA Laptop 1 225
196 10 2012 CA Tablet 2 2240
197 10 2012 CA Tablet 1 1120
198 10 2012 ON Printer 1 570
199 10 2012 NZ Tablet 1 1120
200 10 2012 CA Tablet 1 1120
201 10 2012 ON Laptop 1 225
202 10 2012 QU Tablet 1 1120
203 10 2012 CA Tablet 1 1120
204 10 2012 CA Tablet 2 2240
205 10 2012 NZ Tablet 1 1120
206 10 2012 CA Tablet 1 1120
207 10 2012 NZ Laptop 1 225
208 10 2012 NZ Tablet 1 1120
209 10 2012 ON Printer 1 570
210 10 2012 CA Tablet 1 1120
211 11 2012 NZ Printer 1 570
212 11 2012 NZ Tablet 2 2240
213 11 2012 NZ Printer 1 570
214 11 2012 WG Tablet 1 1120
215 11 2012 ON Tablet 1 1120
216 11 2012 QU Tablet 1 1120
217 11 2012 NZ Tablet 1 1120
218 11 2012 NZ Printer 1 570
219 11 2012 NZ Tablet 1 1120
220 11 2012 CA Tablet 1 1120
221 11 2012 NZ Laptop 1 225
222 11 2012 CA Tablet 1 1120
223 11 2012 NZ Laptop 1 225
224 11 2012 NZ Tablet 1 1120
225 11 2012 ON Tablet 1 1120
226 11 2012 QU Laptop 1 225
227 11 2012 ON Laptop 1 225
228 11 2012 NZ Tablet 1 1120
229 11 2012 QU Laptop 1 225
230 11 2012 NZ Printer 1 570
231 11 2012 NZ Tablet 1 1120
232 12 2012 NZ Printer 1 570
233 12 2012 ON Laptop 1 225
234 12 2012 CA Tablet 1 1120
235 12 2012 CA Tablet 1 1120
236 12 2012 QU Tablet 2 2240
237 12 2012 NZ Printer 1 570
238 12 2012 WG Laptop 2 450
239 12 2012 CA Tablet 1 1120
240 12 2012 ON Printer 1 570
241 12 2012 WG Laptop 1 225
242 12 2012 ON Tablet 2 2240
243 12 2012 NZ Printer 1 570
244 12 2012 WG Laptop 1 225
245 12 2012 ON Tablet 1 1120
246 12 2012 NZ Laptop 1 225
247 12 2012 NZ Tablet 1 1120
248 12 2012 CA Tablet 2 2240
249 1 2013 NZ Tablet 1 1120
250 1 2013 QU Tablet 2 2240
251 1 2013 NZ Printer 2 1140
252 1 2013 QU Laptop 1 225
253 1 2013 QU Printer 1 570
254 1 2013 WG Tablet 1 1120
255 1 2013 CA Tablet 1 1120
256 1 2013 WG Tablet 2 2240
257 1 2013 NZ Tablet 1 1120
258 1 2013 NZ Laptop 1 225
259 1 2013 NZ Tablet 2 2240
260 1 2013 QU Tablet 1 1120
261 1 2013 NZ Tablet 2 2240
262 1 2013 WG Laptop 1 225
263 1 2013 NZ Printer 1 570
264 1 2013 NZ Tablet 1 1120
265 1 2013 NZ Laptop 1 225
266 1 2013 ON Laptop 1 225
267 1 2013 WG Printer 2 1140
268 1 2013 QU Laptop 1 225
269 1 2013 ON Printer 2 1140
270 1 2013 ON Tablet 1 1120
271 1 2013 CA Laptop 2 450
272 1 2013 ON Tablet 1 1120
273 1 2013 CA Printer 1 570
274 1 2013 CA Laptop 1 225
275 2 2013 CA Laptop 1 225
276 2 2013 NZ Laptop 1 225
277 2 2013 CA Printer 1 570
278 2 2013 CA Tablet 1 1120
279 2 2013 QU Printer 1 570
280 2 2013 NZ Laptop 1 225
281 2 2013 CA Tablet 2 2240
282 2 2013 WG Tablet 2 2240
283 2 2013 WG Laptop 1 225
284 2 2013 CA Tablet 1 1120
285 2 2013 CA Tablet 2 2240
286 2 2013 WG Tablet 2 2240
287 2 2013 QU Tablet 1 1120
288 2 2013 ON Laptop 2 450
289 2 2013 NZ Tablet 1 1120
290 2 2013 CA Tablet 2 2240
291 2 2013 QU Laptop 1 225
292 2 2013 CA Laptop 1 225
293 2 2013 CA Tablet 2 2240
294 3 2013 CA Laptop 1 225
295 3 2013 WG Printer 1 570
296 3 2013 NZ Tablet 2 2240
297 3 2013 NZ Laptop 2 450
298 3 2013 QU Laptop 2 450
299 3 2013 CA Tablet 1 1120
300 3 2013 CA Tablet 2 2240
301 3 2013 NZ Tablet 1 1120
302 3 2013 NZ Tablet 2 2240
303 3 2013 NZ Laptop 1 225
304 3 2013 CA Tablet 1 1120
305 3 2013 WG Printer 1 570
306 3 2013 ON Laptop 1 225
307 3 2013 CA Printer 1 570
308 3 2013 WG Tablet 2 2240
309 3 2013 NZ Printer 1 570
310 3 2013 NZ Printer 2 1140
311 3 2013 CA Laptop 1 225
312 3 2013 CA Laptop 1 225
313 3 2013 WG Tablet 1 1120
314 3 2013 ON Printer 1 570
315 3 2013 NZ Tablet 1 1120
316 4 2013 NZ Laptop 1 225
317 4 2013 WG Tablet 1 1120
318 4 2013 NZ Tablet 1 1120
319 4 2013 CA Printer 1 570
320 4 2013 QU Laptop 1 225
321 4 2013 NZ Tablet 1 1120
322 4 2013 WG Laptop 2 450
323 4 2013 WG Printer 1 570
324 4 2013 QU Tablet 1 1120
325 4 2013 CA Tablet 1 1120
326 4 2013 ON Tablet 1 1120
327 4 2013 WG Tablet 1 1120
328 4 2013 QU Tablet 1 1120
329 4 2013 NZ Tablet 1 1120
330 4 2013 NZ Tablet 1 1120
331 4 2013 CA Tablet 1 1120
332 4 2013 NZ Printer 2 1140
333 4 2013 CA Tablet 1 1120
334 4 2013 NZ Tablet 2 2240
335 4 2013 CA Tablet 1 1120
336 4 2013 CA Printer 1 570
337 4 2013 WG Printer 1 570
338 4 2013 WG Tablet 1 1120
339 5 2013 NZ Laptop 1 225
340 5 2013 CA Laptop 1 225
341 5 2013 NZ Laptop 1 225
342 5 2013 CA Printer 1 570
343 5 2013 NZ Laptop 1 225
344 5 2013 WG Printer 2 1140
345 5 2013 QU Tablet 1 1120
346 5 2013 CA Tablet 1 1120
347 5 2013 ON Laptop 1 225
348 5 2013 ON Laptop 1 225
349 5 2013 CA Tablet 2 2240
350 5 2013 CA Tablet 1 1120
351 5 2013 WG Tablet 1 1120
352 5 2013 CA Laptop 1 225
353 5 2013 WG Printer 1 570
354 5 2013 NZ Tablet 2 2240
355 5 2013 ON Tablet 1 1120
356 5 2013 NZ Tablet 1 1120
357 5 2013 NZ Printer 1 570
358 5 2013 QU Laptop 1 225
359 5 2013 WG Tablet 1 1120
360 5 2013 WG Printer 2 1140
361 5 2013 NZ Laptop 2 450
362 5 2013 NZ Printer 1 570
363 5 2013 CA Tablet 2 2240
364 5 2013 CA Printer 1 570
365 5 2013 CA Printer 1 570
366 5 2013 CA Printer 1 570
367 6 2013 CA Printer 2 1140
368 6 2013 QU Tablet 1 1120
369 6 2013 CA Tablet 1 1120
370 6 2013 CA Tablet 1 1120
371 6 2013 WG Printer 1 570
372 6 2013 ON Tablet 1 1120
373 6 2013 NZ Printer 1 570
374 6 2013 CA Tablet 1 1120
375 6 2013 WG Tablet 1 1120
376 6 2013 NZ Printer 1 570
377 6 2013 NZ Laptop 2 450
378 6 2013 QU Laptop 1 225
379 6 2013 NZ Laptop 1 225
380 6 2013 WG Tablet 1 1120
381 6 2013 NZ Tablet 2 2240
382 6 2013 CA Tablet 2 2240
383 6 2013 NZ Tablet 1 1120
384 6 2013 CA Tablet 1 1120
385 6 2013 NZ Laptop 1 225
386 6 2013 CA Printer 2 1140
387 6 2013 ON Printer 1 570
388 6 2013 QU Tablet 1 1120
389 6 2013 CA Printer 1 570
390 6 2013 QU Tablet 1 1120
391 7 2013 NZ Tablet 1 1120
392 7 2013 CA Tablet 1 1120
393 7 2013 QU Printer 1 570
394 7 2013 QU Laptop 1 225
395 7 2013 NZ Laptop 2 450
396 7 2013 QU Laptop 1 225
397 7 2013 NZ Laptop 1 225
398 7 2013 NZ Tablet 1 1120
399 7 2013 NZ Laptop 1 225
400 7 2013 QU Tablet 1 1120
401 7 2013 QU Laptop 2 450
402 7 2013 WG Tablet 2 2240
403 7 2013 CA Tablet 1 1120
404 7 2013 QU Tablet 2 2240
405 7 2013 NZ Laptop 1 225
406 7 2013 QU Printer 1 570
407 8 2013 NZ Tablet 1 1120
408 8 2013 NZ Laptop 1 225
409 8 2013 NZ Laptop 1 225
410 8 2013 ON Laptop 1 225
411 8 2013 CA Tablet 2 2240
412 8 2013 CA Tablet 1 1120
413 8 2013 CA Tablet 1 1120
414 8 2013 CA Tablet 2 2240
415 8 2013 NZ Tablet 1 1120
416 8 2013 QU Printer 1 570
417 8 2013 WG Laptop 1 225
418 8 2013 ON Laptop 1 225
419 9 2013 CA Tablet 2 2240
420 9 2013 NZ Printer 1 570
421 9 2013 CA Laptop 1 225
422 9 2013 ON Tablet 1 1120
423 9 2013 NZ Printer 1 570
424 9 2013 NZ Tablet 2 2240
425 9 2013 CA Tablet 1 1120
426 9 2013 QU Tablet 1 1120
427 9 2013 NZ Printer 1 570
428 9 2013 NZ Printer 1 570
429 9 2013 WG Tablet 1 1120
430 9 2013 CA Tablet 1 1120
431 9 2013 NZ Laptop 2 450
432 9 2013 QU Tablet 1 1120
433 9 2013 CA Tablet 1 1120
434 9 2013 WG Tablet 1 1120
435 9 2013 ON Printer 1 570
436 9 2013 CA Printer 1 570
437 9 2013 NZ Tablet 1 1120
438 9 2013 WG Laptop 2 450
439 9 2013 QU Printer 2 1140
440 9 2013 QU Tablet 1 1120
441 9 2013 CA Laptop 2 450
442 9 2013 NZ Laptop 1 225
443 10 2013 QU Tablet 1 1120
444 10 2013 NZ Printer 1 570
445 10 2013 CA Tablet 1 1120
446 10 2013 CA Tablet 1 1120
447 10 2013 NZ Laptop 1 225
448 10 2013 CA Laptop 2 450
449 10 2013 QU Printer 1 570
450 10 2013 CA Tablet 2 2240
451 10 2013 NZ Printer 2 1140
452 10 2013 NZ Printer 1 570
453 10 2013 NZ Printer 1 570
454 10 2013 ON Tablet 2 2240
455 10 2013 NZ Laptop 1 225
456 10 2013 NZ Laptop 1 225
457 10 2013 ON Tablet 1 1120
458 10 2013 CA Laptop 1 225
459 10 2013 WG Printer 1 570
460 10 2013 WG Tablet 1 1120
461 10 2013 NZ Printer 1 570
462 10 2013 NZ Tablet 1 1120
463 10 2013 CA Printer 2 1140
464 10 2013 CA Printer 1 570
465 11 2013 NZ Tablet 2 2240
466 11 2013 NZ Printer 2 1140
467 11 2013 NZ Laptop 1 225
468 11 2013 QU Printer 1 570
469 11 2013 ON Tablet 1 1120
470 11 2013 QU Tablet 1 1120
471 11 2013 NZ Tablet 1 1120
472 11 2013 NZ Laptop 1 225
473 11 2013 ON Printer 1 570
474 11 2013 WG Tablet 1 1120
475 11 2013 NZ Printer 1 570
476 11 2013 NZ Tablet 1 1120
477 11 2013 NZ Laptop 1 225
478 11 2013 NZ Laptop 1 225
479 11 2013 NZ Tablet 2 2240
480 11 2013 NZ Tablet 1 1120
481 11 2013 WG Laptop 2 450
482 11 2013 CA Laptop 1 225
483 11 2013 QU Laptop 1 225
484 12 2013 CA Laptop 1 225
485 12 2013 NZ Tablet 1 1120
486 12 2013 CA Printer 1 570
487 12 2013 QU Tablet 1 1120
488 12 2013 WG Tablet 1 1120
489 12 2013 QU Laptop 1 225
490 12 2013 QU Laptop 1 225
491 12 2013 CA Printer 1 570
492 12 2013 CA Laptop 1 225
493 12 2013 WG Laptop 1 225
494 12 2013 WG Tablet 1 1120
495 12 2013 CA Tablet 1 1120
496 12 2013 NZ Tablet 1 1120
497 12 2013 QU Laptop 1 225
498 12 2013 NZ Tablet 1 1120
499 12 2013 NZ Tablet 1 1120
500 12 2013 NZ Tablet 1 1120
